MaterialID,name,rarity,type,source,intro,relatedFurnish,relatedFood,LABEL
m117,珊瑚真珠,1星,稻妻区域特产,稻妻采集,与海衹的珊瑚相伴而生的宝珠，散发着月光般的丝丝凉意。,N/A,N/A,Material
m118,天云草实,1星,稻妻区域特产,稻妻采集清籁岛采集,生长在清籁岛的天云草结成的果实，贴在耳畔能听见微弱的电流声。,N/A,N/A,Material
m119,鸣草,1星,稻妻区域特产,稻妻采集（采集帮助：采集视频）NPC购买（稻妻城商店：葵，每日限购5株）,N/A,N/A,N/A,Material
m120,夜泊石,1星,璃月区域特产,野外采集璃月山洞内采集璃月港解翠行老板石头处购买（1000摩拉每个，三天刷新一次，限购五个）推荐：明蕴镇采集璃月港解翠行老板石头处购买（1000摩拉每个，三天刷新一次，限购五个）(采集帮助：采集视频),稀有的特质矿石，在静谧的暗夜里会幽幽地发光。据称是天地间奔流的元素在异变中凝聚成的珍奇宝石。,N/A,N/A,Material
m121,星螺,1星,璃月区域特产,野外采集璃月海滩采集(采集帮助：采集视频),随着海潮来到沙滩上的螺。将耳朵凑近空壳，能听见海充满思念的呼唤。,N/A,N/A,Material
m122,鬼兜虫,1星,稻妻区域特产,稻妻采集（采集帮助：采集路线图）,栖息在雷元素富集区的奇异甲虫。与甲壳上宛如怒目而视的恶鬼之恰恰相反，鬼兜虫其实非常温顺迟钝。,N/A,N/A,Material
m123,蒲公英籽,1星,蒙德区域特产,野外采集推荐：蒙德城门采集(采集帮助：采集视频，采集专栏）,随风而行的细小种子。即使拔去了旅行的羽絮，其中也寄宿着远方的希望吧。,N/A,N/A,Material
m124,士官的徽记,2星,角色培养素材,普通怪物掉落合成获得40级以上先遣队掉落40级以上债务处理人少量掉落40级以上雷莹术士少量掉落（推荐：先遣队六兄弟位置）(债务处理人位置视频雷萤术士位置视频),标识着士官身份的徽记，有着区分一般士兵的奇异造型。其中或许蕴含复杂的情绪吧。,N/A,N/A,Material
m125,破旧的刀镡,1星,角色培养素材,普通怪物掉落野伏众掉落（帮助：位置视频）,装配在稻妻刀剑上的护具，见证过许多战斗对剑术纯熟者而言，镡可以在实战中阻挡对手的刀刃;而对于新手剑士，镡是保护自己右手的关键。,N/A,N/A,Material
m126,新兵的徽记,1星,角色培养素材,普通怪物掉落先遣队掉落债务处理人少量掉落雷萤术士少量掉落（推荐：先遣队六兄弟位置）(债务处理人位置视频雷萤术士位置视频),标识着新兵身份的徽记。不知曾经带着它的人，是怀着何种心情加入愚人众的战争机器呢？,N/A,N/A,Material
m127,影打刀镡,2星,角色培养素材,普通怪物掉落野伏众掉落（帮助：位置视频）,装配在优秀刀剑上的护具。稻妻有悠久的刀剑锻冶传统。匠人锻造一把刀时，常常会制造数柄样品，从中甄选。其中最为优秀的作品是为「真打」，而其余的则被称为「影打」。,N/A,N/A,Material
m128,绯樱绣球,1星,稻妻区域特产,稻妻采集(采集帮助：采集视频),从鸣神大社的神樱上飘落的花瓣，怀着稻妻大地的眷顾。,N/A,绯樱饼三彩团子「红炉一点雪」绯樱天妇罗夏祭游鱼,Material
m129,清心,1星,璃月区域特产,野外采集石林顶端采集推荐：绝云间采集推荐：孤云阁采集推荐：不卜庐购买(采集帮助：采集视频),只生长在孤高石峰的通透白花。不愿接受平原的温暖与湿润，宁可在清冷的尖峰眺望远方。（刷新时间：48小时）,N/A,天枢肉,Material
m130,封魔绘卷,2星,角色培养素材,普通怪物掉落合成获得40级以上丘丘人萨满掉落,模糊地绘制了难解形象的古书断章。通过模仿其中的人物形象，一些魔物能小小地再现魔法的奇迹。,N/A,N/A,Material
m131,导能绘卷,1星,角色培养素材,普通怪物掉落丘丘萨满掉落,大抵是某种关于魔法的绘卷残篇。隐隐地散发着某种异样的、不详的温暖。,N/A,N/A,Material
m132,慕风蘑菇,1星,蒙德区域特产,野外采集房檐下采集风起地小女孩处购买（五个）(采集帮助：采集视频，蒙德城-采集专栏，清泉镇和晨曦酒庄-采集专栏),沐浴着和煦的风而生长的菌类，与风一样生生不息，滋养生命。,N/A,N/A,Material
m133,血斛,1星,稻妻区域特产,稻妻采集,在诗文中也被称为「赤蕊」的鲜艳植物，一度在稻妻列岛绝迹，如今在战场上再度重现。传说在血腥的战场上，它们开得格外妖艳。,N/A,N/A,Material
m134,琉璃百合,1星,璃月区域特产,野外采集轻策庄磨坊主小白处购买（50000摩拉每个，三天刷新一次，限购三个）推荐：璃月港玉京台采集推荐：轻策庄采集(采集帮助：采集视频，采集专栏),极为古老的花卉。据说曾经遍布璃月大地，能将大地的记忆积攒成花期时的芬芳。,N/A,N/A,Material
m135,石珀,1星,璃月区域特产,野外采集璃月山壁下采集璃月港商人长顺处可以购买（1500摩拉一个，共计5个，三天一刷）推荐：琥牢山采集(采集帮助：采集视频),极纯的岩元素凝成的珍稀晶石，常与其他矿物伴生。也被称为「岩之心」。,N/A,N/A,Material
m136,嘟嘟莲,1星,蒙德区域特产,野外采集湖泊水边采集推荐:清泉镇采集(采集帮助：采集视频),生长在水边的花。花瓣经过烹制口感爽脆，清甜微苦。,N/A,嘟嘟莲海鲜羹极致一钓,Material
m137,小灯草,1星,蒙德区域特产,野外采集推荐：奔狼领采集推荐：低语森林采集(采集帮助：采集视频),在夜间会隐隐散发辉光的野花。与其他食材一同烹饪能提升鲜味。,N/A,「蒙德往事」「堆高高」黄油煎鱼「林之梦」,Material
m138,海灵芝,1星,稻妻区域特产,野外采集（帮助：采集视频）,在某些特殊的海域中、岛屿上才会生长的特殊物种。虽然外形看起来像菌类，但其实是由软体生物分泌增生而成的。,N/A,N/A,Material
m139,污秽的面具,2星,角色培养素材,普通怪物掉落合成获得40级以上丘丘人掉落40级以上射手类丘丘人少量掉落40级以上丘丘萨满少量掉落40级以上大体格丘丘人少量掉落,"沾满了难以辨认的污渍，散发着微妙气味的骨质面具。
即使这样也要戴在脸上，这就是丘丘人的执着。",N/A,N/A,Material
m140,破损的面具,1星,角色培养素材,普通怪物掉落丘丘人掉落射手类丘丘人少量掉落丘丘萨满少量掉落大体格丘丘人少量掉落,"破碎的骨质面具，曾经属于某个丘丘人。
破损的部分比完整的部分更多，已经失去了假面应有的功能。",N/A,N/A,Material
m141,史莱姆清,2星,角色培养素材,普通怪物掉落合成获得40级以上史莱姆掉落,"略加提纯的史莱姆分泌物，对皮肤有害,请务必避免不加防护措施的接触。",N/A,N/A,Material
m142,史莱姆凝液,1星,角色培养素材,普通怪物掉落史莱姆掉落,覆于史莱姆体表的浓稠流体，各地元素工坊中最常见的原料。,N/A,N/A,Material
m143,霓裳花,1星,璃月区域特产,野外采集璃月港玉京台附近采集望舒客栈附近采集望舒客栈菲尔戈黛特处购买（1000摩拉每个，三天刷新一次，限购五个）轻策庄磨坊主小白处购买（1000摩拉每个，三天刷新一次，限购五个）推荐：璃月港采集望舒客栈菲尔戈黛特处购买（1000摩拉每个，三天刷新一次，限购五个）轻策庄磨坊主小白处购买（1000摩拉每个，三天刷新一次，限购五个）(采集帮助：采集视频),在璃月如霓云般盛放的妖红之花，能制成如水般顺滑的织物。,N/A,N/A,Material
